pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
450.0,0.04434011476264997,0.2085828343313373,82.24745454545462,2022.0,Aaron Hicks,1989,33.0
247.0,0.058823529411764705,0.2857142857142857,84.4919871794872,2022.0,Kyle Higashioka,1990,32.0
422.0,0.06292834890965732,0.3352534562211982,81.26815068493154,2022.0,Eric Hosmer,1989,33.0
251.0,0.05337690631808279,0.3008658008658009,83.66583629893233,2022.0,Brad Miller,1989,33.0
402.0,0.06002728512960437,0.2050561797752809,83.88077669902917,2022.0,Austin Nola,1989,33.0
202.0,0.05620915032679739,0.18004866180048662,84.08452380952383,2022.0,Anthony Rendon,1990,32.0
713.0,0.06261859582542695,0.24584237165582068,82.65521155830754,2022.0,Marcus Semien,1990,32.0
586.0,0.06513589503280225,0.25556544968833483,82.2144,2022.0,George Springer,1989,33.0
424.0,0.06733794839521712,0.3188585607940447,82.13904000000002,2022.0,Christian Vázquez,1990,32.0
498.0,0.05451792024230187,0.22189349112426035,80.74815384615384,2022.0,Kolten Wong,1990,32.0
244.0,0.0558858501783591,0.4067415730337079,79.41734417344169,2022.0,Didi Gregorius,1990,32.0
322.0,0.055077452667814115,0.3609154929577465,79.9549668874172,2022.0,Leury García,1991,31.0
221.0,0.0710594315245478,0.30357142857142855,81.89730639730637,2022.0,Ildemaro Vargas,1991,31.0
530.0,0.06789473684210526,0.3167006109979633,84.6140988372093,2022.0,Randal Grichuk,1991,31.0
377.0,0.04369627507163324,0.21052631578947367,83.22526041666667,2022.0,Max Stassi,1991,31.0
486.0,0.05844477464091134,0.22612085769980506,83.6897959183674,2022.0,Mike Trout,1991,31.0
235.0,0.05811138014527845,0.367816091954023,78.73157894736843,2022.0,Albert Almora Jr.,1994,28.0
425.0,0.06938255887969447,0.3550561797752809,84.14146757679183,2022.0,Bryce Harper,1992,30.0
680.0,0.07080319756376094,0.2996389891696751,84.53655323819977,2022.0,José Abreu,1987,35.0
382.0,0.056068133427963095,0.32936507936507936,81.52985074626868,2022.0,Elias Díaz,1990,32.0
296.0,0.04799301919720768,0.2807308970099668,79.10714285714286,2022.0,Omar Narváez,1992,30.0
622.0,0.05052125100240577,0.2143928035982009,82.83673780487808,2022.0,Eugenio Suárez,1991,31.0
549.0,0.07388404309902515,0.366045142296369,82.29936224489792,2022.0,Gio Urshela,1991,31.0
506.0,0.05448354143019296,0.3660130718954248,80.86170212765951,2022.0,Jonathan Schoop,1991,31.0
621.0,0.07236842105263158,0.3253968253968254,84.08082663605039,2022.0,Nolan Arenado,1991,31.0
311.0,0.05367965367965368,0.24607329842931938,80.58772845952998,2022.0,Tucker Barnhart,1991,31.0
