pitches,fb_velocity,spin_rate,chase_pct,season,full_name,birth_year_clean,age
987.0,93.66366559485532,2234.1909385113267,0.28316831683168314,2022.0,Steven Okert,1991,31.0
1087.0,95.79473684210525,2079.1700404858298,0.24745762711864408,2022.0,Tyler Beede,1993,29.0
1802.0,91.875,2110.75,0.285207100591716,2022.0,Jakob Junis,1992,30.0
1004.0,91.22368421052632,2348.955621301775,0.27549194991055453,2022.0,Daniel Norris,1993,29.0
681.0,92.91621621621621,2304.5945945945946,0.29775280898876405,2022.0,Dillon Peters,1992,30.0
905.0,96.80981735159818,2390.796803652968,0.34273318872017355,2022.0,Robert Stephenson,1993,29.0
685.0,94.88333333333334,2375.324324324324,0.29859154929577464,2022.0,Luke Weaver,1993,29.0
2090.0,90.9090481786134,2155.6317647058822,0.27485380116959063,2022.0,Austin Gomber,1993,29.0
677.0,94.91803278688525,2248.9704918032785,0.25895316804407714,2022.0,Matt Barnes,1990,32.0
869.0,89.74367088607595,2188.873015873016,0.30155210643015523,2022.0,Noé Ramirez,1989,33.0
782.0,96.46736842105264,2640.743859649123,0.32914046121593293,2022.0,José Leclerc,1993,29.0
1000.0,95.69352750809063,2114.741100323625,0.3269961977186312,2022.0,Andrés Machado,1993,29.0
3019.0,93.4116788321168,2313.5175846051757,0.2587268993839836,2022.0,Nick Pivetta,1993,29.0
1169.0,93.60676156583631,2394.896797153025,0.37383177570093457,2022.0,Scott Barlow,1992,30.0
2906.0,93.153452685422,2190.4501278772377,0.25347985347985347,2022.0,Chris Bassitt,1989,33.0
1064.0,94.37175732217574,2312.830188679245,0.29133858267716534,2022.0,John Brebbia,1990,32.0
2180.0,88.99771428571428,2353.2788571428573,0.3391642371234208,2022.0,Dylan Bundy,1992,30.0
875.0,91.56443514644351,2149.723849372385,0.3431952662721893,2022.0,Andrew Chafin,1990,32.0
1931.0,93.64594222833563,2315.8555708390645,0.2817796610169492,2022.0,Mike Clevinger,1990,32.0
718.0,92.77872340425532,2263.6018237082067,0.2905027932960894,2022.0,Jharel Cotton,1992,30.0
2261.0,89.70374639769453,2190.4034582132563,0.2490023942537909,2022.0,Zach Davies,1993,29.0
996.0,94.65686567164178,2524.2029850746267,0.29961089494163423,2022.0,Carl Edwards Jr.,1991,31.0
1066.0,94.02911392405065,2300.8164556962024,0.2773851590106007,2022.0,Michael Fulmer,1993,29.0
1010.0,,,0.29961832061068705,2022.0,Clay Holmes,1993,29.0
1880.0,94.30540540540541,2215.2792792792793,0.2594752186588921,2022.0,Adrian Houser,1993,29.0
1157.0,97.30169491525425,2065.35593220339,0.2727272727272727,2022.0,Jorge López,1993,29.0
2788.0,92.91234939759036,2560.0768072289156,0.31921110299488675,2022.0,Joe Musgrove,1992,30.0
3023.0,92.72331047992165,2306.595494613124,0.3447332421340629,2022.0,Aaron Nola,1993,29.0
988.0,96.9044680851064,2288.3504273504273,0.33047210300429186,2022.0,Jordan Romano,1993,29.0
2266.0,95.82175664786463,2433.065269943594,0.3084495488105004,2022.0,Blake Snell,1992,30.0
2119.0,91.42086752637749,2257.348182883939,0.35622710622710624,2022.0,Jeffrey Springs,1992,30.0
2150.0,92.26056338028168,2385.8845070422535,0.2821180555555556,2022.0,Zach Thompson,1993,29.0
672.0,93.47185185185184,2251.088888888889,0.23493975903614459,2022.0,Art Warren,1993,29.0
520.0,94.95236051502147,2442.5751072961375,0.24060150375939848,2022.0,J.B. Wendelken,1993,29.0
789.0,89.5381818181818,1939.8181818181818,0.24685138539042822,2022.0,Matt Wisler,1992,30.0
2481.0,96.31848648648649,2353.486956521739,0.31343283582089554,2022.0,Brandon Woodruff,1993,29.0
969.0,94.280174291939,2385.4945533769064,0.3481781376518219,2022.0,Giovanny Gallegos,1991,31.0
1073.0,96.41152263374485,2335.4907216494844,0.31069609507640067,2022.0,Rafael Montero,1990,32.0
967.0,94.77269372693726,2425.1033210332102,0.27345309381237526,2022.0,Joel Payamps,1994,28.0
1017.0,93.59142857142858,2034.7096774193549,0.27941176470588236,2022.0,Jarlín García,1993,29.0
635.0,95.2891891891892,2352.710843373494,0.28152492668621704,2022.0,Reyes Moronta,1993,29.0
2985.0,95.5462300495322,2351.9790748898677,0.3121232417950435,2022.0,Carlos Rodón,1992,30.0
685.0,96.86270022883295,2132.7482837528605,0.31097560975609756,2022.0,Jordan Weems,1992,30.0
2395.0,89.6,1955.0,0.22258326563769293,2022.0,Erick Fedde,1993,29.0
992.0,94.3716814159292,2175.070796460177,0.2784090909090909,2022.0,Joey Krehbiel,1992,30.0
799.0,94.11684981684981,2230.978021978022,0.2482598607888631,2022.0,Amir Garrett,1992,30.0
1747.0,93.42529550827422,2334.03073286052,0.3207126948775056,2022.0,Nick Martinez,1990,32.0
597.0,95.14623655913977,2116.3440860215055,0.3037974683544304,2022.0,Anthony Banda,1993,29.0
2892.0,90.25384615384615,2391.0905044510387,0.27636849132176233,2022.0,Kyle Freeland,1993,29.0
1064.0,94.41125401929261,2243.128617363344,0.2205029013539652,2022.0,Seth Lugo,1989,33.0
1058.0,97.43557046979866,2238.225503355705,0.24022346368715083,2022.0,Carlos Estévez,1992,30.0
1125.0,92.84366729678639,2412.24763705104,0.26,2022.0,Chase De Jong,1993,29.0
2907.0,94.04815618221258,2142.4615384615386,0.3395378690629012,2022.0,Max Fried,1994,28.0
2707.0,92.6455905511811,2168.821118991332,0.29478943611705927,2022.0,Lucas Giolito,1994,28.0
2569.0,90.67335526315789,1976.9549945115257,0.3055091819699499,2022.0,Cole Irvin,1994,28.0
838.0,95.6331569664903,2368.232804232804,0.26635514018691586,2022.0,Corey Knebel,1991,31.0
1925.0,93.05918699186991,2129.5430894308943,0.291044776119403,2022.0,Michael Wacha,1991,31.0
2827.0,95.55269186712486,2138.09049255441,0.2886446886446886,2022.0,Germán Márquez,1995,27.0
742.0,92.27435897435898,2275.912087912088,0.2946859903381642,2022.0,Tyler Duffey,1990,32.0
1042.0,96.57187499999998,2364.1484375,0.2831215970961887,2022.0,Kendall Graveman,1990,32.0
855.0,95.53927392739274,2321.7324414715717,0.4074844074844075,2022.0,Dominic Leone,1991,31.0
1077.0,92.7257019438445,2629.70626349892,0.3159722222222222,2022.0,Chris Stratton,1990,32.0
1039.0,86.41926470588236,2144.6573529411767,0.2743682310469314,2022.0,Brent Suter,1989,33.0
1768.0,93.46597796143251,2356.6827586206896,0.26018099547511314,2022.0,Austin Voth,1992,30.0
502.0,98.25714285714287,2200.0,0.28205128205128205,2022.0,Miguel Castro,1994,28.0
1122.0,96.88026819923371,2353.2528735632186,0.2686804451510334,2022.0,José Ruiz,1994,28.0
2872.0,93.89461538461538,2187.8038461538463,0.32124352331606215,2022.0,Cal Quantrill,1995,27.0
857.0,95.92125603864737,2111.7028985507245,0.28817204301075267,2022.0,Hirokazu Sawamura,1988,34.0
693.0,93.025,1716.5,0.30939226519337015,2022.0,Jose Cuas,1994,28.0
846.0,95.08442437923252,2365.839729119639,0.2723112128146453,2022.0,Steven Wilson,1994,28.0
898.0,94.65558583106267,2267.0647887323944,0.29094827586206895,2022.0,Michael Rucker,1994,28.0
2139.0,93.95392620624409,2008.1297348484848,0.2653247941445563,2022.0,James Kaprielian,1994,28.0
