Season,Team,Total_WAR,Batter_WAR,SP_WAR,RP_WAR,Top3_WAR_Ratio,Gini_Coefficient,Wins,Losses,WS_Winner,Win_PCT
2012,KCR,25.4,12.6,6.699999999999999,6.1,0.4251968503937007,0.7918594815146539,72,90,0,0.4444444444444444
2012,LAA,41.60000000000001,33.599999999999994,7.0,0.9999999999999996,0.4399038461538461,0.7932030932030931,89,73,0,0.5493827160493827
2012,LAD,30.6,11.9,15.0,3.7000000000000006,0.4215686274509804,0.794943820224719,86,76,0,0.5308641975308642
2012,MIA,18.3,8.5,7.599999999999999,2.1999999999999997,0.6666666666666666,0.8167627835447904,69,93,0,0.42592592592592593
2012,MIL,39.3,28.4,10.1,0.7999999999999999,0.4529262086513994,0.8086162648828307,83,79,0,0.5123456790123457
2012,MIN,19.700000000000003,14.0,3.0,2.7,0.5837563451776648,0.8437825580682724,66,96,0,0.4074074074074074
2012,NYM,29.800000000000004,15.2,12.8,1.8000000000000005,0.4630872483221476,0.800041407867495,74,88,0,0.4567901234567901
2012,NYY,49.7,32.8,12.4,4.500000000000001,0.3098591549295774,0.7312970340858788,95,67,0,0.5864197530864198
2012,OAK,39.4,20.39999999999999,13.3,5.700000000000001,0.2868020304568528,0.7336605419917778,94,68,0,0.5802469135802469
2012,PHI,36.1,17.300000000000004,15.2,3.599999999999999,0.3961218836565096,0.7960557960557959,81,81,0,0.5
